variable,attribute,value,index
HSQ_09,class,numeric,2
HSQ_16,1,strongly disagree,1
HSQ_16,2,disagree,1
HSQ_16,3,slightly disagree,1
HSQ_16,4,neither agree nor disagree,1
HSQ_16,5,slightly agree,1
HSQ_16,6,agree,1
HSQ_16,7,strongly agree,1
HSQ_16,comment,Humor Styles Questionnaire: I don’t often say funny things to put myself down.,1
HSQ_16,class,avector,1
HSQ_16,class,numeric,2
HSQ_21,1,strongly disagree,1
HSQ_21,2,disagree,1
HSQ_21,3,slightly disagree,1
HSQ_21,4,neither agree nor disagree,1
HSQ_21,5,slightly agree,1
HSQ_21,6,agree,1
HSQ_21,7,strongly agree,1
HSQ_21,comment,Humor Styles Questionnaire: I enjoy making people laugh.,1
HSQ_21,class,avector,1
HSQ_21,class,numeric,2
HSQ_22,1,strongly disagree,1
HSQ_22,2,disagree,1
HSQ_22,3,slightly disagree,1
HSQ_22,4,neither agree nor disagree,1
HSQ_22,5,slightly agree,1
HSQ_22,6,agree,1
HSQ_22,7,strongly agree,1
HSQ_22,comment,"Humor Styles Questionnaire: If I am feeling sad or upset, I usually lose my sense of humor.",1
HSQ_22,class,avector,1
HSQ_22,class,numeric,2
HSQ_23,1,strongly disagree,1
HSQ_23,2,disagree,1
HSQ_23,3,slightly disagree,1
HSQ_23,4,neither agree nor disagree,1
HSQ_23,5,slightly agree,1
HSQ_23,6,agree,1
HSQ_23,7,strongly agree,1
HSQ_23,comment,Humor Styles Questionnaire: I never participate in laughing at others even if all my friends are doing it.,1
HSQ_23,class,avector,1
HSQ_23,class,numeric,2
HSQ_29,1,strongly disagree,1
HSQ_29,2,disagree,1
HSQ_29,3,slightly disagree,1
HSQ_29,4,neither agree nor disagree,1
HSQ_29,5,slightly agree,1
HSQ_29,6,agree,1
HSQ_29,7,strongly agree,1
HSQ_29,comment,Humor Styles Questionnaire: I usually can't think of witty things to say when I'm with other people.,1
HSQ_29,class,avector,1
HSQ_29,class,numeric,2
ULS8_01,1,strongly disagree,1
ULS8_01,2,disagree,1
ULS8_01,3,slightly disagree,1
ULS8_01,4,neither agree nor disagree,1
ULS8_01,5,slightly agree,1
ULS8_01,6,agree,1
ULS8_01,7,strongly agree,1
ULS8_01,comment,UCLA Loneliness Scale: I lack companionship.,1
ULS8_01,class,avector,1
ULS8_01,class,numeric,2
ULS8_02,1,strongly disagree,1
ULS8_02,2,disagree,1
ULS8_02,3,slightly disagree,1
ULS8_02,4,neither agree nor disagree,1
ULS8_02,5,slightly agree,1
ULS8_02,6,agree,1
ULS8_02,7,strongly agree,1
ULS8_02,comment,UCLA Loneliness Scale: There is no one I can turn to.,1
ULS8_02,class,avector,1
ULS8_02,class,numeric,2
ULS8_03,1,strongly disagree,1
ULS8_03,2,disagree,1
ULS8_03,3,slightly disagree,1
ULS8_03,4,neither agree nor disagree,1
ULS8_03,5,slightly agree,1
ULS8_03,6,agree,1
ULS8_03,7,strongly agree,1
ULS8_03,comment,UCLA Loneliness Scale: I am an outgoing person.,1
ULS8_03,class,avector,1
ULS8_03,class,numeric,2
ULS8_04,1,strongly disagree,1
ULS8_04,2,disagree,1
ULS8_04,3,slightly disagree,1
ULS8_04,4,neither agree nor disagree,1
ULS8_04,5,slightly agree,1
ULS8_04,6,agree,1
ULS8_04,7,strongly agree,1
ULS8_04,comment,UCLA Loneliness Scale: I feel left out.,1
ULS8_04,class,avector,1
ULS8_04,class,numeric,2
ULS8_05,1,strongly disagree,1
ULS8_05,2,disagree,1
ULS8_05,3,slightly disagree,1
ULS8_05,4,neither agree nor disagree,1
ULS8_05,5,slightly agree,1
ULS8_05,6,agree,1
ULS8_05,7,strongly agree,1
ULS8_05,comment,UCLA Loneliness Scale: I feel isolated from others.,1
ULS8_05,class,avector,1
ULS8_05,class,numeric,2
ULS8_06,1,strongly disagree,1
ULS8_06,2,disagree,1
ULS8_06,3,slightly disagree,1
ULS8_06,4,neither agree nor disagree,1
ULS8_06,5,slightly agree,1
ULS8_06,6,agree,1
ULS8_06,7,strongly agree,1
ULS8_06,comment,UCLA Loneliness Scale: I can find companionship when I want it.,1
ULS8_06,class,avector,1
ULS8_06,class,numeric,2
ULS8_07,1,strongly disagree,1
ULS8_07,2,disagree,1
ULS8_07,3,slightly disagree,1
ULS8_07,4,neither agree nor disagree,1
ULS8_07,5,slightly agree,1
ULS8_07,6,agree,1
ULS8_07,7,strongly agree,1
ULS8_07,comment,UCLA Loneliness Scale: I am unhappy being so withdrawn.,1
ULS8_07,class,avector,1
ULS8_07,class,numeric,2
ULS8_08,1,strongly disagree,1
ULS8_08,2,disagree,1
ULS8_08,3,slightly disagree,1
ULS8_08,4,neither agree nor disagree,1
ULS8_08,5,slightly agree,1
ULS8_08,6,agree,1
ULS8_08,7,strongly agree,1
ULS8_08,comment,UCLA Loneliness Scale: People are around me but not with me.,1
ULS8_08,class,avector,1
ULS8_08,class,numeric,2
ACH_01,1,strongly disagree,1
ACH_01,2,disagree,1
ACH_01,3,slightly disagree,1
ACH_01,4,neither agree nor disagree,1
ACH_01,5,slightly agree,1
ACH_01,6,agree,1
ACH_01,7,strongly agree,1
ACH_01,comment,"UCLA Loneliness Scale: To ensure data quality, please choose strongly disagree for this item",1
ACH_01,class,avector,1
ACH_01,class,numeric,2
NGSE_01,1,strongly disagree,1
NGSE_01,2,disagree,1
NGSE_01,3,slightly disagree,1
NGSE_01,4,neither agree nor disagree,1
NGSE_01,5,slightly agree,1
NGSE_01,6,agree,1
NGSE_01,7,strongly agree,1
NGSE_01,comment,General Self-Efficacy Scale: I will be able to achieve most of the goals that I have set for myself.,1
NGSE_01,class,avector,1
NGSE_01,class,numeric,2
NGSE_02,1,strongly disagree,1
NGSE_02,2,disagree,1
NGSE_02,3,slightly disagree,1
NGSE_02,4,neither agree nor disagree,1
NGSE_02,5,slightly agree,1
NGSE_02,6,agree,1
NGSE_02,7,strongly agree,1
NGSE_02,comment,"General Self-Efficacy Scale: When facing difficult tasks, I am certain that I will accomplish them.",1
NGSE_02,class,avector,1
NGSE_02,class,numeric,2
NGSE_03,1,strongly disagree,1
NGSE_03,2,disagree,1
NGSE_03,3,slightly disagree,1
NGSE_03,4,neither agree nor disagree,1
NGSE_03,5,slightly agree,1
NGSE_03,6,agree,1
NGSE_03,7,strongly agree,1
NGSE_03,comment,"General Self-Efficacy Scale: In general, I think that I can obtain outcomes that are important to me.",1
NGSE_03,class,avector,1
NGSE_03,class,numeric,2
NGSE_04,1,strongly disagree,1
NGSE_04,2,disagree,1
NGSE_04,3,slightly disagree,1
NGSE_04,4,neither agree nor disagree,1
NGSE_04,5,slightly agree,1
NGSE_04,6,agree,1
NGSE_04,7,strongly agree,1
NGSE_04,comment,General Self-Efficacy Scale: I believe I can succeed at most any endeavor to which I set my mind.,1
NGSE_04,class,avector,1
NGSE_04,class,numeric,2
NGSE_05,1,strongly disagree,1
NGSE_05,2,disagree,1
NGSE_05,3,slightly disagree,1
NGSE_05,4,neither agree nor disagree,1
NGSE_05,5,slightly agree,1
NGSE_05,6,agree,1
NGSE_05,7,strongly agree,1
NGSE_05,comment,General Self-Efficacy Scale: I will be able to successfully overcome many challenges.,1
NGSE_05,class,avector,1
NGSE_05,class,numeric,2
NGSE_06,1,strongly disagree,1
NGSE_06,2,disagree,1
NGSE_06,3,slightly disagree,1
NGSE_06,4,neither agree nor disagree,1
NGSE_06,5,slightly agree,1
NGSE_06,6,agree,1
NGSE_06,7,strongly agree,1
NGSE_06,comment,General Self-Efficacy Scale: I am confident that I can perform effectively on many different tasks.,1
NGSE_06,class,avector,1
NGSE_06,class,numeric,2
NGSE_07,1,strongly disagree,1
NGSE_07,2,disagree,1
NGSE_07,3,slightly disagree,1
NGSE_07,4,neither agree nor disagree,1
NGSE_07,5,slightly agree,1
NGSE_07,6,agree,1
NGSE_07,7,strongly agree,1
NGSE_07,comment,"General Self-Efficacy Scale: Compared to other people, I can do most tasks very well.",1
NGSE_07,class,avector,1
NGSE_07,class,numeric,2
NGSE_08,1,strongly disagree,1
NGSE_08,2,disagree,1
NGSE_08,3,slightly disagree,1
NGSE_08,4,neither agree nor disagree,1
NGSE_08,5,slightly agree,1
NGSE_08,6,agree,1
NGSE_08,7,strongly agree,1
NGSE_08,comment,"General Self-Efficacy Scale: Even when things are tough, I can perform quite well.",1
NGSE_08,class,avector,1
NGSE_08,class,numeric,2
ATB_03,1,strongly disagree,1
ATB_03,2,disagree,1
ATB_03,3,slightly disagree,1
ATB_03,4,neither agree nor disagree,1
ATB_03,5,slightly agree,1
ATB_03,6,agree,1
ATB_03,7,strongly agree,1
ATB_03,comment,General Self-Efficacy Scale: I've discovered a way to turn broccoli into gold.,1
ATB_03,class,avector,1
ATB_03,class,numeric,2
FCV19S_01,1,strongly disagree,1
FCV19S_01,2,disagree,1
FCV19S_01,3,slightly disagree,1
FCV19S_01,4,neither agree nor disagree,1
FCV19S_01,5,slightly agree,1
FCV19S_01,6,agree,1
FCV19S_01,7,strongly agree,1
FCV19S_01,comment,Fear of COVID-19 Scale: I am most afraid of coronavirus-19,1
FCV19S_01,class,avector,1
FCV19S_01,class,numeric,2
FCV19S_02,1,strongly disagree,1
FCV19S_02,2,disagree,1
FCV19S_02,3,slightly disagree,1
FCV19S_02,4,neither agree nor disagree,1
FCV19S_02,5,slightly agree,1
FCV19S_02,6,agree,1
FCV19S_02,7,strongly agree,1
FCV19S_02,comment,Fear of COVID-19 Scale: It makes me uncomfortable to think about coronavirus-19.,1
FCV19S_02,class,avector,1
FCV19S_02,class,numeric,2
FCV19S_03,1,strongly disagree,1
FCV19S_03,2,disagree,1
FCV19S_03,3,slightly disagree,1
FCV19S_03,4,neither agree nor disagree,1
FCV19S_03,5,slightly agree,1
FCV19S_03,6,agree,1
FCV19S_03,7,strongly agree,1
FCV19S_03,comment,Fear of COVID-19 Scale: My hands become clammy when I think about coronavirus-19.,1
FCV19S_03,class,avector,1
FCV19S_03,class,numeric,2
FCV19S_04,1,strongly disagree,1
FCV19S_04,2,disagree,1
FCV19S_04,3,slightly disagree,1
FCV19S_04,4,neither agree nor disagree,1
FCV19S_04,5,slightly agree,1
FCV19S_04,6,agree,1
FCV19S_04,7,strongly agree,1
FCV19S_04,comment,Fear of COVID-19 Scale: I am afraid of losing my life because of coronavirus-19.,1
FCV19S_04,class,avector,1
FCV19S_04,class,numeric,2
FCV19S_05,1,strongly disagree,1
FCV19S_05,2,disagree,1
FCV19S_05,3,slightly disagree,1
FCV19S_05,4,neither agree nor disagree,1
FCV19S_05,5,slightly agree,1
FCV19S_05,6,agree,1
FCV19S_05,7,strongly agree,1
FCV19S_05,comment,"Fear of COVID-19 Scale: When watching news and stories about coronavirus-19 on social media, I become nervous or anxious.",1
FCV19S_05,class,avector,1
FCV19S_05,class,numeric,2
FCV19S_06,1,strongly disagree,1
FCV19S_06,2,disagree,1
FCV19S_06,3,slightly disagree,1
FCV19S_06,4,neither agree nor disagree,1
FCV19S_06,5,slightly agree,1
FCV19S_06,6,agree,1
FCV19S_06,7,strongly agree,1
FCV19S_06,comment,Fear of COVID-19 Scale: I cannot sleep because I’m worrying about getting coronavirus-19.,1
FCV19S_06,class,avector,1
FCV19S_06,class,numeric,2
FCV19S_07,1,strongly disagree,1
FCV19S_07,2,disagree,1
FCV19S_07,3,slightly disagree,1
FCV19S_07,4,neither agree nor disagree,1
FCV19S_07,5,slightly agree,1
FCV19S_07,6,agree,1
FCV19S_07,7,strongly agree,1
FCV19S_07,comment,Fear of COVID-19 Scale: My heart races or palpitates when I think about getting coronavirus-19.,1
FCV19S_07,class,avector,1
FCV19S_07,class,numeric,2
DAQ_05,1,strongly disagree,1
DAQ_05,2,disagree,1
DAQ_05,3,slightly disagree,1
DAQ_05,4,neither agree nor disagree,1
DAQ_05,5,slightly agree,1
DAQ_05,6,agree,1
DAQ_05,7,strongly agree,1
DAQ_05,comment,Disgust Avoidance Questionnaire: I try to avoid activities that could make me feel disgusted.,1
DAQ_05,class,avector,1
DAQ_05,class,numeric,2
DAQ_07,1,strongly disagree,1
DAQ_07,2,disagree,1
DAQ_07,3,slightly disagree,1
DAQ_07,4,neither agree nor disagree,1
DAQ_07,5,slightly agree,1
DAQ_07,6,agree,1
DAQ_07,7,strongly agree,1
DAQ_07,comment,Disgust Avoidance Questionnaire: I avoid actions that remind me of repulsive things.,1
DAQ_07,class,avector,1
DAQ_07,class,numeric,2
DAQ_09,1,strongly disagree,1
DAQ_09,2,disagree,1
DAQ_09,3,slightly disagree,1
DAQ_09,4,neither agree nor disagree,1
DAQ_09,5,slightly agree,1
DAQ_09,6,agree,1
DAQ_09,7,strongly agree,1
DAQ_09,comment,Disgust Avoidance Questionnaire: I try hard to avoid situations that might bring up feelings of repulsion in me.,1
DAQ_09,class,avector,1
DAQ_09,class,numeric,2
DAQ_11,1,strongly disagree,1
DAQ_11,2,disagree,1
DAQ_11,3,slightly disagree,1
DAQ_11,4,neither agree nor disagree,1
DAQ_11,5,slightly agree,1
DAQ_11,6,agree,1
DAQ_11,7,strongly agree,1
DAQ_11,comment,Disgust Avoidance Questionnaire: I avoid certain situations that make me pay attention to disgusting things.,1
DAQ_11,class,avector,1
DAQ_11,class,numeric,2
DAQ_15,1,strongly disagree,1
DAQ_15,2,disagree,1
DAQ_15,3,slightly disagree,1
DAQ_15,4,neither agree nor disagree,1
DAQ_15,5,slightly agree,1
DAQ_15,6,agree,1
DAQ_15,7,strongly agree,1
DAQ_15,comment,Disgust Avoidance Questionnaire: I avoid objects that can trigger feelings of disgust.,1
DAQ_15,class,avector,1
DAQ_15,class,numeric,2
DAQ_19,1,strongly disagree,1
DAQ_19,2,disagree,1
DAQ_19,3,slightly disagree,1
DAQ_19,4,neither agree nor disagree,1
DAQ_19,5,slightly agree,1
DAQ_19,6,agree,1
DAQ_19,7,strongly agree,1
DAQ_19,comment,Disgust Avoidance Questionnaire: I try not to think about gross situations.,1
DAQ_19,class,avector,1
DAQ_19,class,numeric,2
DAQ_21,1,strongly disagree,1
DAQ_21,2,disagree,1
DAQ_21,3,slightly disagree,1
DAQ_21,4,neither agree nor disagree,1
DAQ_21,5,slightly agree,1
DAQ_21,6,agree,1
DAQ_21,7,strongly agree,1
DAQ_21,comment,Disgust Avoidance Questionnaire: I try hard to avoid thinking about a repulsive past situation.,1
DAQ_21,class,avector,1
DAQ_21,class,numeric,2
DAQ_23,1,strongly disagree,1
DAQ_23,2,disagree,1
DAQ_23,3,slightly disagree,1
DAQ_23,4,neither agree nor disagree,1
DAQ_23,5,slightly agree,1
DAQ_23,6,agree,1
DAQ_23,7,strongly agree,1
DAQ_23,comment,Disgust Avoidance Questionnaire: I distract myself to avoid thinking about things that disgust me.,1
DAQ_23,class,avector,1
DAQ_23,class,numeric,2
DAQ_25,1,strongly disagree,1
DAQ_25,2,disagree,1
DAQ_25,3,slightly disagree,1
DAQ_25,4,neither agree nor disagree,1
DAQ_25,5,slightly agree,1
DAQ_25,6,agree,1
DAQ_25,7,strongly agree,1
DAQ_25,comment,"Disgust Avoidance Questionnaire: To avoid thinking about things that revolt me, I force myself to think about something else.",1
DAQ_25,class,avector,1
DAQ_25,class,numeric,2
DAQ_02,1,strongly disagree,1
DAQ_02,2,disagree,1
DAQ_02,3,slightly disagree,1
DAQ_02,4,neither agree nor disagree,1
DAQ_02,5,slightly agree,1
DAQ_02,6,agree,1
DAQ_02,7,strongly agree,1
DAQ_02,comment,Disgust Avoidance Questionnaire: I am quick to stop any activity that makes me feel disgusted.,1
DAQ_02,class,avector,1
DAQ_02,class,numeric,2
DAQ_06,1,strongly disagree,1
DAQ_06,2,disagree,1
DAQ_06,3,slightly disagree,1
DAQ_06,4,neither agree nor disagree,1
DAQ_06,5,slightly agree,1
DAQ_06,6,agree,1
DAQ_06,7,strongly agree,1
DAQ_06,comment,"Disgust Avoidance Questionnaire: If I start feeling strong disgust, I prefer to leave the situation.",1
DAQ_06,class,avector,1
DAQ_06,class,numeric,2
DAQ_08,1,strongly disagree,1
DAQ_08,2,disagree,1
DAQ_08,3,slightly disagree,1
DAQ_08,4,neither agree nor disagree,1
DAQ_08,5,slightly agree,1
DAQ_08,6,agree,1
DAQ_08,7,strongly agree,1
DAQ_08,comment,"Disgust Avoidance Questionnaire: If I am in a situation in which I feel revolted, I leave the situation immediately.",1
DAQ_08,class,avector,1
DAQ_08,class,numeric,2
DAQ_10,1,strongly disagree,1
DAQ_10,2,disagree,1
DAQ_10,3,slightly disagree,1
DAQ_10,4,neither agree nor disagree,1
DAQ_10,5,slightly agree,1
DAQ_10,6,agree,1
DAQ_10,7,strongly agree,1
DAQ_10,comment,Disgust Avoidance Questionnaire: I am quick to leave any situation that makes me feel disgusted.,1
DAQ_10,class,avector,1
DAQ_10,class,numeric,2
DAQ_12,1,strongly disagree,1
DAQ_12,2,disagree,1
DAQ_12,3,slightly disagree,1
DAQ_12,4,neither agree nor disagree,1
DAQ_12,5,slightly agree,1
DAQ_12,6,agree,1
DAQ_12,7,strongly agree,1
DAQ_12,comment,"Disgust Avoidance Questionnaire: When I think about something gross, I push those thoughts out of my mind.",1
DAQ_12,class,avector,1
DAQ_12,class,numeric,2
DAQ_14,1,strongly disagree,1
DAQ_14,2,disagree,1
DAQ_14,3,slightly disagree,1
DAQ_14,4,neither agree nor disagree,1
DAQ_14,5,slightly agree,1
DAQ_14,6,agree,1
DAQ_14,7,strongly agree,1
DAQ_14,comment,"Disgust Avoidance Questionnaire: When thoughts about repulsive things come up, I try very hard to stop thinking about them.",1
DAQ_14,class,avector,1
DAQ_14,class,numeric,2
DAQ_16,1,strongly disagree,1
DAQ_16,2,disagree,1
DAQ_16,3,slightly disagree,1
DAQ_16,4,neither agree nor disagree,1
DAQ_16,5,slightly agree,1
DAQ_16,6,agree,1
DAQ_16,7,strongly agree,1
DAQ_16,comment,"Disgust Avoidance Questionnaire: If thoughts about disgusting things cross my mind, I try to push them away as much as possible.",1
DAQ_16,class,avector,1
DAQ_16,class,numeric,2
DAQ_24,1,strongly disagree,1
DAQ_24,2,disagree,1
DAQ_24,3,slightly disagree,1
DAQ_24,4,neither agree nor disagree,1
DAQ_24,5,slightly agree,1
DAQ_24,6,agree,1
DAQ_24,7,strongly agree,1
DAQ_24,comment,"Disgust Avoidance Questionnaire: When thoughts about revolting things come up, I try to fill my head with something else.",1
DAQ_24,class,avector,1
DAQ_24,class,numeric,2
ACH_02,1,strongly disagree,1
ACH_02,2,disagree,1
ACH_02,3,slightly disagree,1
ACH_02,4,neither agree nor disagree,1
ACH_02,5,slightly agree,1
ACH_02,6,agree,1
ACH_02,7,strongly agree,1
ACH_02,comment,"Disgust Avoidance Questionnaire: To ensure data quality, please choose strongly agree for this item",1
ACH_02,class,avector,1
ACH_02,class,numeric,2
WGS_01,1,strongly disagree,1
WGS_01,2,disagree,1
WGS_01,3,slightly disagree,1
WGS_01,4,neither agree nor disagree,1
WGS_01,5,slightly agree,1
WGS_01,6,agree,1
WGS_01,7,strongly agree,1
WGS_01,comment,"Work Gratitude Scale: Right now, I have so much at work to be thankful for.",1
WGS_01,class,avector,1
WGS_01,class,numeric,2
WGS_02,1,strongly disagree,1
WGS_02,2,disagree,1
WGS_02,3,slightly disagree,1
WGS_02,4,neither agree nor disagree,1
WGS_02,5,slightly agree,1
WGS_02,6,agree,1
WGS_02,7,strongly agree,1
WGS_02,comment,"Work Gratitude Scale: At this present time, if I had to list everything that I felt grateful for at work, it would be a very long list.",1
WGS_02,class,avector,1
WGS_02,class,numeric,2
WGS_03,1,strongly disagree,1
WGS_03,2,disagree,1
WGS_03,3,slightly disagree,1
WGS_03,4,neither agree nor disagree,1
WGS_03,5,slightly agree,1
WGS_03,6,agree,1
WGS_03,7,strongly agree,1
WGS_03,comment,"Work Gratitude Scale: At the present time, life has been good to me at work.",1
WGS_03,class,avector,1
WGS_03,class,numeric,2
WGS_04,1,strongly disagree,1
WGS_04,2,disagree,1
WGS_04,3,slightly disagree,1
WGS_04,4,neither agree nor disagree,1
WGS_04,5,slightly agree,1
WGS_04,6,agree,1
WGS_04,7,strongly agree,1
WGS_04,comment,"Work Gratitude Scale: Currently, I couldn’t have gotten where I am today at work without the help of many people.",1
WGS_04,class,avector,1
WGS_04,class,numeric,2
WGS_05,1,strongly disagree,1
WGS_05,2,disagree,1
WGS_05,3,slightly disagree,1
WGS_05,4,neither agree nor disagree,1
WGS_05,5,slightly agree,1
WGS_05,6,agree,1
WGS_05,7,strongly agree,1
WGS_05,comment,"Work Gratitude Scale: Although I think it’s important to feel good about my current work accomplishments, I think that it’s also important to remember how others have contributed to my accomplishments.",1
WGS_05,class,avector,1
WGS_05,class,numeric,2
WGS_06,1,strongly disagree,1
WGS_06,2,disagree,1
WGS_06,3,slightly disagree,1
WGS_06,4,neither agree nor disagree,1
WGS_06,5,slightly agree,1
WGS_06,6,agree,1
WGS_06,7,strongly agree,1
WGS_06,comment,"Work Gratitude Scale: Although I’m basically in control of my work at the present time, I can’t help but think about all those who have supported me and helped me along the way.",1
WGS_06,class,avector,1
WGS_06,class,numeric,2
WGS_07,1,strongly disagree,1
WGS_07,2,disagree,1
WGS_07,3,slightly disagree,1
WGS_07,4,neither agree nor disagree,1
WGS_07,5,slightly agree,1
WGS_07,6,agree,1
WGS_07,7,strongly agree,1
WGS_07,comment,"Work Gratitude Scale: Right now, I feel deeply appreciative for the things others have done for me at work.",1
WGS_07,class,avector,1
WGS_07,class,numeric,2
WGS_08,1,strongly disagree,1
WGS_08,2,disagree,1
WGS_08,3,slightly disagree,1
WGS_08,4,neither agree nor disagree,1
WGS_08,5,slightly agree,1
WGS_08,6,agree,1
WGS_08,7,strongly agree,1
WGS_08,comment,"Work Gratitude Scale: Currently, I think that it’s important to ""Stop and smell the roses"" as it pertains to my work.",1
WGS_08,class,avector,1
WGS_08,class,numeric,2
WGS_09,1,strongly disagree,1
WGS_09,2,disagree,1
WGS_09,3,slightly disagree,1
WGS_09,4,neither agree nor disagree,1
WGS_09,5,slightly agree,1
WGS_09,6,agree,1
WGS_09,7,strongly agree,1
WGS_09,comment,"Work Gratitude Scale: Currently, I believe that it’s important to pause often to ""count my blessings"" at work.",1
WGS_09,class,avector,1
WGS_09,class,numeric,2
WGS_10,1,strongly disagree,1
WGS_10,2,disagree,1
WGS_10,3,slightly disagree,1
WGS_10,4,neither agree nor disagree,1
WGS_10,5,slightly agree,1
WGS_10,6,agree,1
WGS_10,7,strongly agree,1
WGS_10,comment,"Work Gratitude Scale: Right now, I think it’s important to enjoy the simple things that pertain to my work.",1
WGS_10,class,avector,1
WGS_10,class,numeric,2
CESD_01,1,never,1
CESD_01,2,rarely,1
CESD_01,3,occasionally,1
CESD_01,4,sometimes,1
CESD_01,5,often,1
CESD_01,6,very often,1
CESD_01,7,most of the time,1
CESD_01,comment,Center for Epidemiological Studies Depression Scale: I was bothered by things that usually don’t bother me.,1
CESD_01,class,avector,1
CESD_01,class,numeric,2
CESD_02,1,never,1
CESD_02,2,rarely,1
CESD_02,3,occasionally,1
CESD_02,4,sometimes,1
CESD_02,5,often,1
CESD_02,6,very often,1
CESD_02,7,most of the time,1
CESD_02,comment,Center for Epidemiological Studies Depression Scale: I did not feel like eating; my appetite was poor.,1
CESD_02,class,avector,1
CESD_02,class,numeric,2
CESD_03,1,never,1
CESD_03,2,rarely,1
CESD_03,3,occasionally,1
CESD_03,4,sometimes,1
CESD_03,5,often,1
CESD_03,6,very often,1
CESD_03,7,most of the time,1
CESD_03,comment,Center for Epidemiological Studies Depression Scale: I felt that I could not shake off the blues even with help from my family or friends.,1
CESD_03,class,avector,1
CESD_03,class,numeric,2
CESD_04,1,never,1
CESD_04,2,rarely,1
CESD_04,3,occasionally,1
CESD_04,4,sometimes,1
CESD_04,5,often,1
CESD_04,6,very often,1
CESD_04,7,most of the time,1
CESD_04,comment,Center for Epidemiological Studies Depression Scale: I felt that I was just as good as other people.,1
CESD_04,class,avector,1
CESD_04,class,numeric,2
CESD_05,1,never,1
CESD_05,2,rarely,1
CESD_05,3,occasionally,1
CESD_05,4,sometimes,1
CESD_05,5,often,1
CESD_05,6,very often,1
CESD_05,7,most of the time,1
CESD_05,comment,Center for Epidemiological Studies Depression Scale: I had trouble keeping my mind on what I was doing.,1
CESD_05,class,avector,1
CESD_05,class,numeric,2
CESD_06,1,never,1
CESD_06,2,rarely,1
CESD_06,3,occasionally,1
CESD_06,4,sometimes,1
CESD_06,5,often,1
CESD_06,6,very often,1
CESD_06,7,most of the time,1
CESD_06,comment,Center for Epidemiological Studies Depression Scale: I felt depressed.,1
CESD_06,class,avector,1
CESD_06,class,numeric,2
CESD_07,1,never,1
CESD_07,2,rarely,1
CESD_07,3,occasionally,1
CESD_07,4,sometimes,1
CESD_07,5,often,1
CESD_07,6,very often,1
CESD_07,7,most of the time,1
CESD_07,comment,Center for Epidemiological Studies Depression Scale: I felt that everything I did was an effort.,1
CESD_07,class,avector,1
CESD_07,class,numeric,2
CESD_08,1,never,1
CESD_08,2,rarely,1
CESD_08,3,occasionally,1
CESD_08,4,sometimes,1
CESD_08,5,often,1
CESD_08,6,very often,1
CESD_08,7,most of the time,1
CESD_08,comment,Center for Epidemiological Studies Depression Scale: I felt hopeful about the future.,1
CESD_08,class,avector,1
CESD_08,class,numeric,2
CESD_09,1,never,1
CESD_09,2,rarely,1
CESD_09,3,occasionally,1
CESD_09,4,sometimes,1
CESD_09,5,often,1
CESD_09,6,very often,1
CESD_09,7,most of the time,1
CESD_09,comment,Center for Epidemiological Studies Depression Scale: I thought my life had been a failure.,1
CESD_09,class,avector,1
CESD_09,class,numeric,2
CESD_10,1,never,1
CESD_10,2,rarely,1
CESD_10,3,occasionally,1
CESD_10,4,sometimes,1
CESD_10,5,often,1
CESD_10,6,very often,1
CESD_10,7,most of the time,1
CESD_10,comment,Center for Epidemiological Studies Depression Scale: I felt fearful.,1
CESD_10,class,avector,1
CESD_10,class,numeric,2
CESD_11,1,never,1
CESD_11,2,rarely,1
CESD_11,3,occasionally,1
CESD_11,4,sometimes,1
CESD_11,5,often,1
CESD_11,6,very often,1
CESD_11,7,most of the time,1
CESD_11,comment,Center for Epidemiological Studies Depression Scale: My sleep was restless.,1
CESD_11,class,avector,1
CESD_11,class,numeric,2
CESD_12,1,never,1
CESD_12,2,rarely,1
CESD_12,3,occasionally,1
CESD_12,4,sometimes,1
CESD_12,5,often,1
CESD_12,6,very often,1
CESD_12,7,most of the time,1
CESD_12,comment,Center for Epidemiological Studies Depression Scale: I was happy.,1
CESD_12,class,avector,1
CESD_12,class,numeric,2
CESD_13,1,never,1
CESD_13,2,rarely,1
CESD_13,3,occasionally,1
CESD_13,4,sometimes,1
CESD_13,5,often,1
CESD_13,6,very often,1
CESD_13,7,most of the time,1
CESD_13,comment,Center for Epidemiological Studies Depression Scale: I talked less than usual.,1
CESD_13,class,avector,1
CESD_13,class,numeric,2
CESD_14,1,never,1
CESD_14,2,rarely,1
CESD_14,3,occasionally,1
CESD_14,4,sometimes,1
CESD_14,5,often,1
CESD_14,6,very often,1
CESD_14,7,most of the time,1
CESD_14,comment,Center for Epidemiological Studies Depression Scale: I felt lonely.,1
CESD_14,class,avector,1
CESD_14,class,numeric,2
CESD_15,1,never,1
CESD_15,2,rarely,1
CESD_15,3,occasionally,1
CESD_15,4,sometimes,1
CESD_15,5,often,1
CESD_15,6,very often,1
CESD_15,7,most of the time,1
CESD_15,comment,Center for Epidemiological Studies Depression Scale: People were unfriendly.,1
CESD_15,class,avector,1
CESD_15,class,numeric,2
CESD_16,1,never,1
CESD_16,2,rarely,1
CESD_16,3,occasionally,1
CESD_16,4,sometimes,1
CESD_16,5,often,1
CESD_16,6,very often,1
CESD_16,7,most of the time,1
CESD_16,comment,Center for Epidemiological Studies Depression Scale: I enjoyed life.,1
